Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the genitourinary system	HP:0003244	Penile hypospadias	Location of the urethral opening on the inferior aspect of the penis.	Hipospadias peneanas	
Abnormality of the genitourinary system	HP:0000808	Penoscrotal hypospadias	A severe form of hypospadias in which the urethral opening is located at the junction of the penis and scrotum.	Hipospadias penoescrotal	
Abnormality of the genitourinary system	HP:0100600	Penoscrotal transposition	A partial or complete positional exchange between the penis and the scrotum.	Transposición penoescrotal	
Abnormality of the genitourinary system	HP:0011796	Perilobar nephroblastomatosis	Abnormally persistent foci of embryonal immature blastema located in the superficial cortical region (perilobar).	Nefroblastomatosis perilobular	
Abnormality of the genitourinary system	HP:0012782	Perilobar nephrogenic rest	A type of nephrogenic rest associated with multiple lesions in the periphery of the renal lobe.	Restos nefrogénicos perilobulares	
Abnormality of the genitourinary system	HP:0004871	Perineal fistula	The presence of a `fistula` (MPATH:70) between the `bowel` (FMA:7199) and the `perineum` (FMA:9579).	Fístula perineal	
Abnormality of the genitourinary system	HP:0000051	Perineal hypospadias	Hypospadias with location of the urethral meatus in the perineal region.	Hipospadias perineales	
Abnormality of the genitourinary system	HP:0012784	Perinephritis	Inflammation of the connective and adipose tissues surrounding the kidney.	Perinefritis	
Abnormality of the genitourinary system	HP:0012621	Persistent cloaca	Developmental anomaly in which the vagina, bladder, and rectum fuse resulting in a common channel.	Cloaca persistente	
Abnormality of the genitourinary system	HP:0001741	Phimosis	The male foreskin cannot be fully retracted from the head of the penis.	Fimosis	
Abnormality of the genitourinary system	HP:0003239	Phosphoethanolaminuria	An increased concentration of ` phosphoethanolamine` (CHEBI:36711) in the `urine` (FMA:12274).	Fosfoetanolaminuria	
Abnormality of the genitourinary system	HP:0100515	Pollakisuria	Increased frequency of urination.	Poliaquiuria	
Abnormality of the genitourinary system	HP:0000113	Polycystic kidney dysplasia	The presence of multiple cysts in both kidneys.	Displasia renal poliquística	
Abnormality of the genitourinary system	HP:0000147	Polycystic ovaries		Ovarios poliquísticos	
Abnormality of the genitourinary system	HP:0000103	Polyuria	An `increased rate` (PATO:0000912) of urine production.	Poliuria	
Abnormality of the genitourinary system	HP:0100805	Precocious menopause		Menopausia precoz	
Abnormality of the genitourinary system	HP:0008204	Precocious puberty with Sertoli cell tumor		Pubertad precoz con tumor de células de Sertoli	
Abnormality of the genitourinary system	HP:0012876	Premature ejaculation	The emission of semen and seminal fluid during the act of preparation for sexual intercourse, i.e. before there is penetration, or shortly after penetration.	Eyaculación precoz	
Abnormality of the genitourinary system	HP:0008209	Premature ovarian failure	Premature ovarian failure is characterized by amenorrhea, hypoestrogenism, and elevated serum gonadotropin levels in women younger than 40 years.	Insuficiencia ovárica prematura	
Abnormality of the genitourinary system	HP:0009793	Presacral teratoma	Presence of a teratoma anterior to the sacrum.	Teratoma presacro	
Abnormality of the genitourinary system	HP:0011963	Pretesticular azoospermia	Absence of any measurable level of sperm in his semen, due to a hypothalamic or pituitary abnormality diagnosed with hypo-gonadotropic-hypogonadism. The diagnosis is made on the basis of low LH and FSH levels and low or normal testosterone levels.	Azoospermia pretesticular	
Abnormality of the genitourinary system	HP:0200023	Priapism	A painful and harmful medical condition in which the erect penis doesn't return to its flaccid state, despite the absence of both physical and psychological stimulation, within four hours.	Priapismo	
Abnormality of the genitourinary system	HP:0000786	Primary amenorrhea		Amenorrea primaria	
Abnormality of the genitourinary system	HP:0001587	Primary ovarian failure	Malfunctioning of the ovaries such that a girl never begins menstruation.	Falla ovárica primaria	
Abnormality of the genitourinary system	HP:0008720	Primary testicular failure		Falla testicular primaria	
Abnormality of the genitourinary system	HP:0003137	Prolinuria	An increased concentration of `proline` (CHEBI:26271) in the `urine` (FMA:12274).	Prolinuria	
Abnormality of the genitourinary system	HP:0008742	Prominent prostate median bar		Barra mediana prostática prominente	
Abnormality of the genitourinary system	HP:0003246	Prominent scrotal raphe	Increased size of the ridge of tissue that extends along the midline of the scrotum.	Rafe escrotal prominente	
Abnormality of the genitourinary system	HP:0012125	Prostate cancer	A cancer of the `prostate` (FMA:9600).	Cáncer de próstata	
Abnormality of the genitourinary system	HP:0100787	Prostate neoplasm		Neoplasia de próstata	
Abnormality of the genitourinary system	HP:0000024	Prostatitis	The presence of `inflammation` (MPATH:212) of the `prostate` (FMA:9600).	Prostatitis	
Abnormality of the genitourinary system	HP:0000093	Proteinuria	Increased levels of protein in the urine.	Proteinuria	
Abnormality of the genitourinary system	HP:0002049	Proximal renal tubular acidosis	A type of renal tubular acidosis characterized by a  failure of the proximal tubular cells to reabsorb bicarbonate, leading to urinary bicarbonate wasting and subsequent acidemia.	Ácidosis tubular renal proximal	
Abnormality of the genitourinary system	HP:0000114	Proximal tubulopathy	Dysfunction of the proximal tubule, which is the portion of the duct system of the nephron of the kidney which leads from Bowman's capsule to the loop of Henle.	Tubulopatía proximal	
Abnormality of the genitourinary system	HP:0012330	Pyelonephritis	An inflammation of the  `kidney` (FMA:7203) involving the `parenchyma of kidney` (FMA:15574), the renal pelvis (FMA:15575) and the kidney calices.	Pielonefritis	
Abnormality of the genitourinary system	HP:0012085	Pyuria	Presence of an increased number of neutrophils in the urine.	Piuria	
Abnormality of the genitourinary system	HP:0100590	Rectal fistula	The presence of a `fistula` (MPATH:70) affecting the `rectum` (FMA:14544).	Fístula rectal	
Abnormality of the genitourinary system	HP:0100822	Rectocele	A Rectocele results from a tear in the rectovaginal septum (which is normally a tough, fibrous, sheet-like divider between the rectum and vagina). Rectal tissue bulges through this tear and into the vagina as a hernia. There are two main causes of this tear: childbirth, and hysterectomy.	Rectocele	
Abnormality of the genitourinary system	HP:0004792	Rectoperineal fistula	The presence of a `fistula` (MPATH:70) between the `perineum` (FMA:9579) and the `rectum` (FMA:14544).	Fístula rectoperineal	
Abnormality of the genitourinary system	HP:0000143	Rectovaginal fistula	The presence of a `fistula` (MPATH:70) between the `vagina` (FMA:19949) and the `rectum` (FMA:14544).	Fístula rectovaginal	
Abnormality of the genitourinary system	HP:0012786	Recurrent cystitis	Repeated infections of the urinary bladder.	Cistitis recurrente	
Abnormality of the genitourinary system	HP:0003652	Recurrent myoglobinuria	Recurring episodes of myoglobinuria, i.e., of the presence of myoglobin in the urine. This is usually a consequence of rhabdomyolysis, i.e., of the destruction of muscle tissue.	Mioglobinuria recurrente	
Abnormality of the genitourinary system	HP:0012787	Recurrent pyelonephritis	Repeated episodes of pyelonephritis.	Pielonefritis recurrente	
Abnormality of the genitourinary system	HP:0000010	Recurrent urinary tract infections	Repeated infections of the urinary tract.	Infecciones del tracto urinario a repetición	
Abnormality of the genitourinary system	HP:0003513	Reduced ratio of renal calcium clearance to creatinine clearance	A reduction of the ratio of  renal calcium clearance to creatinine clearance to below 0.01.	Reducción en la relación aclaramiento de calcio renal sobre aclaramiento de creatinina	
Abnormality of the genitourinary system	HP:0005565	Reduced renal corticomedullary differentiation	Reduced differentiation between renal cortex and medulla on diagnostic imaging.	Reducción de la diferenciación cortico-medular renal	
Abnormality of the genitourinary system	HP:0012207	Reduced sperm motility	An abnormal reduction in the mobility of ejaculated sperm.	Reducción de la movilidad del esperma	
Abnormality of the genitourinary system	HP:0001994	Renal Fanconi syndrome	An inability of the tubules in the kidney to reabsorb small molecules, causing increased urinary loss of electrolytes (sodium, potassium, bicarbonate), minerals, glucose, amino acids, and water.	Síndrome de fanconi renal	
Abnormality of the genitourinary system	HP:0000104	Renal agenesis	`Agenesis` (MPATH:57), that is, failure of the `kidney` (FMA:7203) to develop during embryogenesis and development.	Agenesia renal	
Abnormality of the genitourinary system	HP:0008335	Renal aminoaciduria	An increased concentration of an `amino acid` (CHEBI:33709 ) in the urine, due to a decreased kidney functionality .	Aminoaciduria renal	
Abnormality of the genitourinary system	HP:0001917	Renal amyloidosis	A form of `amyloidosis` (HP:0011034) that affects the `kidney` (FMA:7203).	Amiloidosis renal	
Abnormality of the genitourinary system	HP:0006772	Renal angiomyolipoma	A benign renal neoplasm composed of fat, vascular, and smooth muscle elements.	Angiomiolipoma renal	
Abnormality of the genitourinary system	HP:0001920	Renal artery stenosis	The presence of `stenosis` (MPATH:80) of the `renal artery` (FMA:14751).	Estenosis de la arteria renal	
Abnormality of the genitourinary system	HP:0012585	Renal atrophy	`Atrophy` (MPATH:127) of the `kidney` (FMA:7203).	Atrofia renal	
Abnormality of the genitourinary system	HP:0012637	Renal calcium wasting	High urine calcium in the presence of hypocalcemia.	Pérdida renal de calcio	
Abnormality of the genitourinary system	HP:0005584	Renal cell carcinoma	A type of `carcinoma` (MPATH:549) of the `kidney` (FMA:7203) with origin in the epithelium of the `proximal convoluted renal tubule` (FMA:17693).	Carcinoma de células renales	
Abnormality of the genitourinary system	HP:0012602	Renal chloride wasting	High urine chloride in the presence of hypochloridemia.	Pérdida renal de cloro	
Abnormality of the genitourinary system	HP:0006735	Renal cortical adenoma	The presence of an `adenoma` (MPATH:270) in the `cortex of the kidney` (FMA:15581).	Adenoma renal cortical	
Abnormality of the genitourinary system	HP:0002048	Renal cortical atrophy	`Atrophy` (MPATH:127) of the `cortex of the kidney` (FMA:15581).	Atrofia cortical renal	
Abnormality of the genitourinary system	HP:0000803	Renal cortical cysts	Cysts of the `cortex of the kidney` (FMA:15581).	Quistes corticales renales	
Abnormality of the genitourinary system	HP:0004734	Renal cortical microcysts	Cysts of microscopic size confined to the `cortex of the kidney` (FMA:15581).	Microquistes corticales renales	
Abnormality of the genitourinary system	HP:0000108	Renal corticomedullary cysts	The presence of multiple cysts at the border between the renal cortex and medulla.	Quistes renales corticomedulares	
Abnormality of the genitourinary system	HP:0000107	Renal cyst	A fluid filled sac in the kidney.	Quiste renal	
Abnormality of the genitourinary system	HP:0100877	Renal diverticulum	Cystic, urine-containing intrarenal cavities lined with transitional cell epithelium that communicate through a narrow channel with the collecting system.	Divertículo renal	
Abnormality of the genitourinary system	HP:0000075	Renal duplication	A congenital anomaly of the urinary tract, in which the `kidney` (FMA:7203) is duplicated and is drained via two separate renal pelves and ureters.	Duplicación renal	
Abnormality of the genitourinary system	HP:0000110	Renal dysplasia	The presence of `developmental dysplasia` (MPATH:64) of the `kidney` (FMA:7203).	Displasia renal	
Abnormality of the genitourinary system	HP:0008696	Renal hamartoma	A disordered proliferation of mature tissues that are native to the kidneys.	Hamartoma renal	
Abnormality of the genitourinary system	HP:0000089	Renal hypoplasia	`Hypoplasia` (MPATH:133) of the `kidney` (FMA:7203).	Hipoplasia renal	
Abnormality of the genitourinary system	HP:0008678	Renal hypoplasia/aplasia	Absence or underdevelopment of the kidney.	Hipoplasia renal / aplasia	
Abnormality of the genitourinary system	HP:0000083	Renal insufficiency	A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.	Insuficiencia renal	
Abnormality of the genitourinary system	HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	Increased number and size of the juxtaglomerular cells.	Hipertrofia / hiperplasia de las células renales yuxtaglomerulares	
Abnormality of the genitourinary system	HP:0005567	Renal magnesium wasting	High urine magnesium in the presence of hypomagnesemia.	Perdida renal de magnesio	
Abnormality of the genitourinary system	HP:0004712	Renal malrotation	An abnormality of the normal developmental rotation of the kidney leading to an abnormal orientation of the kidney.	Malrotación renal	
Abnormality of the genitourinary system	HP:0009726	Renal neoplasm	The presence of a `neoplasm` (MPATH:218) of the `kidney` (FMA:7203).	Neoplasia renal	
Abnormality of the genitourinary system	HP:0011798	Renal oncocytoma	A renal tumor originating from an oncocyte, which  is an epithelial cell characterized by an excessive amount of mitochondria, resulting in an abundant acidophilic, granular cytoplasm.	Oncocitoma renal	
Abnormality of the genitourinary system	HP:0006762	Renal pelvic carcinoma	The presence of a `carcinoma` (MPATH:549) in the `renal pelvis` (FMA:15575).	Carcinoma de la pelvis renal	
Abnormality of the genitourinary system	HP:0000117	Renal phosphate wasting	High urine phosphate in the presence of hypophosphatemia.	Perdida renal de fosfato	
Abnormality of the genitourinary system	HP:0000128	Renal potassium wasting	High urine potassium in the presence of hypokalemia.	Perdida de potasio urinario	
Abnormality of the genitourinary system	HP:0000127	Renal salt wasting	A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s).	Perdida renal de sal 	
Abnormality of the genitourinary system	HP:0008663	Renal sarcoma	A `sarcoma` (MPATH:551) of the `kidney` (FMA:7203).	Sarcoma renal	
Abnormality of the genitourinary system	HP:0012606	Renal sodium wasting	An abnormally increased sodium concentration in the urine in the presence of hyponatremia.	Perdida renal de sodio	
Abnormality of the genitourinary system	HP:0000799	Renal steatosis	Abnormal fat accumulation in the kidneys.	Esteatosis renal	
Abnormality of the genitourinary system	HP:0001947	Renal tubular acidosis	Acidosis owing to malfunction of the kidney tubules with accumulation of metabolic acids and hyperchloremia, potentially leading to complications including hypokalemia, hypercalcinuria, nephrolithiasis and nephrocalcinosis.	Acidosis tubular renal	
Abnormality of the genitourinary system	HP:0000124	Renal tubular dysfunction		Disfunción renal tubular	
Abnormality of the genitourinary system	HP:0008272	Renal tubular lysine transport defect		Defecto en el transportador renal tubular de lisina	
Abnormality of the genitourinary system	HP:0008660	Renotubular dysgenesis	A developmental defect characterized by absence or poor development of proximal renal tubules.	Disgenesia renotubular	
Abnormality of the genitourinary system	HP:0100817	Renovascular hypertension	The presence of `hypertension` (HP:0000822) related to stenosis of the `renal artery` (FMA:14751).	Hipertensión renovascular	
Abnormality of the genitourinary system	HP:0012878	Retarded ejaculation	Difficulty of a male in achieving orgasm.	Eyaculación retardada	
Abnormality of the genitourinary system	HP:0012646	Retractile testis	A testis that is located at the upper scrotum or lower inguinal canal and that can be made to descend completely into the scrotum without resistance by manual reduction but returns to its original position by the cremasteric reflex.	Testículo retráctil	
Abnormality of the genitourinary system	HP:0012877	Retrograde ejaculation	The emission of semen and seminal fluid into the bladder instead of through the penis during orgasm.	Eyaculación retrógrada	
Abnormality of the genitourinary system	HP:0004713	Reversible renal failure	Acute renal failure with resolution of manifestations.	Insuficiencia renal reversible	
Abnormality of the genitourinary system	HP:0012855	Scrotal hyperpgimentation	Increased pigmentation (skin color) of the scrotum.	Hiperpigmentación escrotal	
Abnormality of the genitourinary system	HP:0000046	Scrotal hypoplasia		Hipoplasia escrotal	
Abnormality of the genitourinary system	HP:0012853	Scrotal hypospadias	Hypospadias with location of the urethral meatus in the scrotum.	Hipospadias escrotal	
Abnormality of the genitourinary system	HP:0000869	Secondary amenorrhea		Amenorrea secundaria	
Abnormality of the genitourinary system	HP:0001153	Septate vagina	The presence of a vaginal septum, thereby creating a vaginal duplication. The septum is longitudinal in the majority of cases.	Vagina septada	
Abnormality of the genitourinary system	HP:0100619	Sertoli cell neoplasm	The presence of a `neoplasm` (MPATH:218) of the `testis` (FMA:7210) with origin in a ` Sertoli cell` (CL:0000216).	Neoplasia de células de Sertoli	
Abnormality of the genitourinary system	HP:0012245	Sex reversal	Development of the reproductive system is inconsistent with the chromosomal sex.	Sexo reverso	
Abnormality of the genitourinary system	HP:0000049	Shawl scrotum	A condition in which the upper scrotal skin rises over the base of the penis.	Escroto en chal	
Abnormality of the genitourinary system	HP:0008691	Solitary bladder diverticulum	Presence of a single `diverticulum` (MPATH:68) (sac or pouch) in the `wall of the urinary bladder` (FMA:15902).	Divertículo vesical solitario	
Abnormality of the genitourinary system	HP:0012581	Solitary renal cyst	An isolated cyst of the kidney.	Quiste renal solitario	
Abnormality of the genitourinary system	HP:0005340	Spastic/hyperactive bladder		Vejiga espástica/hiperactiva	
Abnormality of the genitourinary system	HP:0012865	Sperm head anomaly	A structural abnormality of the sperm head.	Anomalía de la cabeza del espermatozoide	
Abnormality of the genitourinary system	HP:0012867	Sperm mid-piece anomaly	A structural abnormality of the sperm mid-piece.	Anomalía del segmento medio del espermatozoide	
Abnormality of the genitourinary system	HP:0012866	Sperm neck anomaly	A structural abnormality of the sperm neck.	Anomalía cuello del espermatozoide	
Abnormality of the genitourinary system	HP:0012868	Sperm tail anomaly	A structural abnormality of the sperm tail.	Anomalía en la cola de los espermatozoides	
Abnormality of the genitourinary system	HP:0012623	Stage 1 chronic kidney disease	A type of chronic kidney disease with normal or increased glomerular filtration rate (GFR at least 90 mL/min/1.73 m2).	Enfermedad renal crónica estadio 1	
Abnormality of the genitourinary system	HP:0012624	Stage 2 chronic kidney disease	A type of chronic kidney disease with mildly reduced glomerular filtration rate (GFR 60-89 mL/min/1.73 m2).	Enfermedad renal crónica estadio 2	
Abnormality of the genitourinary system	HP:0012625	Stage 3 chronic kidney disease	A type of chronic kidney disease with moderately reduced glomerular filtration rate (GFR 30-59 mL/min/1.73 m2).	Enfermedad renal crónica estadio 3	
Abnormality of the genitourinary system	HP:0012626	Stage 4 chronic kidney disease	A type of chronic kidney disease with severely reduced glomerular filtration rate (GFR 15-29 mL/min/1.73 m2).	Enfermedad renal crónica estadio 4	
Abnormality of the genitourinary system	HP:0003774	Stage 5 chronic kidney disease	A degree of kidney failure severe enough to require dialysis or kidney transplantation for survival characterized by a severe reduction in glomerular filtration rate (less than 15 ml/min/1.73 m2) and other manifestations including increased serum creatinine.	Enfermedad renal crónica estadio 5	
Abnormality of the genitourinary system	HP:0012588	Steroid-resistant nephrotic syndrome	A form of nephrotic syndrome that does not respond to treatment with steroid medication.	Síndrome nefrótico resistente a esteroides	
Abnormality of the genitourinary system	HP:0010464	Streak ovary	A developmental disorder characterized by the progressive loss of primordial germ cells in the developing ovaries of an embryo, leading to hypoplastic ovaries composed of wavy connective tissue with occasional clumps of granulosa cells, and frequently mesonephric or hilar cells.	Estría ovárica	
Abnormality of the genitourinary system	HP:0010992	Stress urinary incontinence	In voluntary urine leakage synchronous with exertion, or actions such as sneezing, or coughing.	Incontinencia urinaria de esfuerzo	
Abnormality of the genitourinary system	HP:0010470	Supernumerary testes	The presence of more than two testes.	Testículos supernumerarios	
Abnormality of the genitourinary system	HP:0009792	Teratoma	The presence of a `teratoma` (MPATH:322).	Teratoma	
Abnormality of the genitourinary system	HP:0000029	Testicular atrophy	Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.	Atrofia testicular	
Abnormality of the genitourinary system	HP:0008715	Testicular dysgenesis		Disgenesia testicular	
Abnormality of the genitourinary system	HP:0012860	Testicular fibrosis	Formation of excess connective tissue in the testicle.	Fibrosis testicular	
Abnormality of the genitourinary system	HP:0000030	Testicular gonadoblastoma	The presence of a `gonadoblastoma` (MPATH:315) of the `testis` (FMA:7210).	Gonadoblastoma testicular	
Abnormality of the genitourinary system	HP:0100005	Testicular mesothelioma	A `Malignant mesothelioma` (HP:0100001) of the `testis` (FMA:7210).	Mesotelioma testicular	
Abnormality of the genitourinary system	HP:0012215	Testicular microlithiasis	The deposition of calcium phosphate microliths within the seminiferous tubules.	Microlitiasis testicular	
Abnormality of the genitourinary system	HP:0010788	Testicular neoplasm	The presence of a `neoplasm` (MPATH:218) of the `testis` (FMA:7210).	Neoplasia testicular	
Abnormality of the genitourinary system	HP:0100617	Testicular seminoma	The presence of a `seminoma` (MPATH:317), an undifferentiated germ cell tumor of the `testis` (FMA:7210).	Seminoma testicular	
Abnormality of the genitourinary system	HP:0100616	Testicular teratoma	The presence of a `teratoma` (MPATH:322) of the `testis` (FMA:7210).	Teratoma testicular	
Abnormality of the genitourinary system	HP:0100813	Testicular torsion	Testicular torsion is when the spermatic cord to a testicle twists, cutting off the blood supply. The most common symptom is acute testicular pain.	Torsión testicular	
Abnormality of the genitourinary system	HP:0004722	Thickening of the glomerular basement membrane	Increase in thickness of the basal lamina of the glomerulus of the kidney.	Engrosamiento de la membrana basal glomerular	
Abnormality of the genitourinary system	HP:0012577	Thin glomerular basement membrane	Reduction in thickness of the basal lamina of the glomerulus of the kidney.	Membrana basal glomerular delgada	
Abnormality of the genitourinary system	HP:0008273	Transient aminoaciduria		Aminoaciduria transitoria	
Abnormality of the genitourinary system	HP:0008695	Transient nephrotic syndrome		Síndrome nefrótico transitorio	
Abnormality of the genitourinary system	HP:0006740	Transitional cell carcinoma of the bladder	The presence of a `carcinoma` (MPATH:549) of the `urinary bladder` (FMA:15900) with origin in a `transitional epithelial cell` (CL:0000244).	Carcinoma de células transicionales de la vejiga	
Abnormality of the genitourinary system	HP:0000145	Transverse vaginal septum		Tabique vaginal transverso  	
Abnormality of the genitourinary system	HP:0003614	Trimethylaminuria	Increased concentration of `trimethylamine` (CHEBI:18139) in the urine.	Trimetilaminuria	
Abnormality of the genitourinary system	HP:0010459	True hermaphroditism	The presence of both ovarian and testicular tissues either in the same or in opposite gonads. Affected persons have ambiguous genitalia and may have 46,XX or 46,XY karyotypes or 46,XX/XY mosaicism.	Hermafroditismo verdadero	
Abnormality of the genitourinary system	HP:0003361	Tryptophanuria	An increased concentration of `tryptophan` (CHEBI:27897) in the urine.	Triptofanuria	
Abnormality of the genitourinary system	HP:0000092	Tubular atrophy	The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.	Atrofia tubular	
Abnormality of the genitourinary system	HP:0005583	Tubular basement membrane disintegration	DIsruption and breaking up of the basement membrane of the tubules of the kidney.	Desintegración de la membrana tubular basal  	
Abnormality of the genitourinary system	HP:0001969	Tubulointerstitial abnormality	An abnormality that involves the tubules and interstitial tissue of the kidney.	Anormalidad tubulointersticial	
Abnormality of the genitourinary system	HP:0005576	Tubulointerstitial fibrosis	Fibrosis that involves the tubules and interstitial tissue of the kidney.	Fibrosis tubulointersticial 	
Abnormality of the genitourinary system	HP:0001970	Tubulointerstitial nephritis	A form of inflammation of the kidney affecting the interstitium of the kidneys surrounding the tubules.	Nefritis tubulointersticial	
Abnormality of the genitourinary system	HP:0012741	Unilateral cryptorchidism	Absence of a testis  from the scrotum on one side owing to failure of the testis or testes to descend through the inguinal canal to the testis.	Criptorquidia unilateral	
Abnormality of the genitourinary system	HP:0000122	Unilateral renal agenesis	A `unilateral` (PATO:0000634) form of `agenesis` (MPATH:57) of the `kidney` (FMA:7203).	Agenesia renal unilateral	
Abnormality of the genitourinary system	HP:0008717	Unilateral renal atrophy	A `unilateral` (PATO:0000634) form of `atrophy` (MPATH:127) of the `kidney` (FMA:7203).	Atrofia renal unilateral	
Abnormality of the genitourinary system	HP:0008718	Unilateral renal dysplasia	A `unilateral` (PATO:0000634) form of `developmental dysplasia` (MPATH:64) of the `kidney` (FMA:7203).	Displasia renal unilateral	
Abnormality of the genitourinary system	HP:0012583	Unilateral renal hypoplasia	One sided `hypoplasia` (MPATH:133) of the `kidney` (FMA:7203).	Hipoplasia renal unilateral	
Abnormality of the genitourinary system	HP:0012618	Urachal cyst	A cyst located along the allantois canal.	Quiste del uraco	
Abnormality of the genitourinary system	HP:0100525	Urachus fistula	Persistence of the urachal canal with drainage of urine from the bladder through the persistent allantois canal to the umbilicus.	Fístula del uraco	
Abnormality of the genitourinary system	HP:0012572	Ureter duplex	A complete duplication of the ureter such that the duplicated ureters with separate insertions into the bladder.	Duplicación del uréter	
Abnormality of the genitourinary system	HP:0012571	Ureter fissus	A partial duplication of the ureter such that the duplicated ureters fuse to a single ureter before their insertion into the bladder.	Duplicación y fusión del uréter	
Abnormality of the genitourinary system	HP:0012300	Ureteral agenesis	Failure of the ureter to undergo development.	Agenesia ureteral	
Abnormality of the genitourinary system	HP:0005999	Ureteral atresia	The presence of `atretic` (PATO:0001819) `ureter` (FMA:9704).	Atresia ureteral	
Abnormality of the genitourinary system	HP:0000073	Ureteral duplication	A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.	Duplicación ureteral	
Abnormality of the genitourinary system	HP:0008631	Ureteral dysgenesis	A developmental anomaly of the ureter.	Disgenesia ureteral	
Abnormality of the genitourinary system	HP:0006000	Ureteral obstruction	Obstruction of the flow of urine through the `ureter` (FMA:9704).	Obstrucción ureteral	
Abnormality of the genitourinary system	HP:0000071	Ureteral stenosis	The presence of a stenotic, i.e., `constricted` (PATO:0001847) `ureter` (FMA:9704).	Estenosis ureteral	
Abnormality of the genitourinary system	HP:0008705	Ureteral triplication		Triplicación ureteral	
Abnormality of the genitourinary system	HP:0000070	Ureterocele	A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.	Ureterocele	
Abnormality of the genitourinary system	HP:0000074	Ureteropelvic junction obstruction	Blockage of urine flow from the renal pelvis to the proximal ureter.	Obstrucción de la unión ureteropélvica	
Abnormality of the genitourinary system	HP:0008714	Ureterovesical stenosis		Estenosis ureterovesical	
Abnormality of the genitourinary system	HP:0000068	Urethral atresia	Congenital anomaly characterized by closure or failure to develop an opening in the urethra.	Atresia uretral	
Abnormality of the genitourinary system	HP:0000067	Urethral atresia, female	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.	Atresia uretral, hembra	
Abnormality of the genitourinary system	HP:0000052	Urethral atresia, male	Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.	Atresia uretral, hombre	
Abnormality of the genitourinary system	HP:0008722	Urethral diverticulum	The presence of a diverticulum (sac or pouch) in the wall of the urethra.	Divertículo uretral	
Abnormality of the genitourinary system	HP:0010480	Urethral fistula	The presence of an abnormal connection between the urethra and another organ or the skin.	Fístula uretral	
Abnormality of the genitourinary system	HP:0000796	Urethral obstruction	Obstruction of the flow of urine through the `urethra` (FMA:19667).	Obstrucción uretral	
Abnormality of the genitourinary system	HP:0008664	Urethral sphincter sclerosis		Esclerosis del esfínter uretral	
Abnormality of the genitourinary system	HP:0008661	Urethral stenosis	Abnormal narrowing of the urethra.	Estenosis uretral	
Abnormality of the genitourinary system	HP:0012227	Urethral stricture	Narrowing of the urethra associated with inflammation or scar tissue.	Estenosis ureteral asociada a cicatrices o infecciones	
Abnormality of the genitourinary system	HP:0010481	Urethral valve	The presence of an abnormal membrane obstructing the `urethra` (FMA:19667).	Válvula uretral	
Abnormality of the genitourinary system	HP:0100821	Urethrocele	The prolapse of the female urethra into the vagina.	Uretrocele	
Abnormality of the genitourinary system	HP:0008716	Urethrovaginal fistula	The presence of a `fistula` (MPATH:70) between the `vagina` (FMA:19949) and the `urethra` (FMA:19667).	Fístula uretrovaginal	
Abnormality of the genitourinary system	HP:0000791	Uric acid nephrolithiasis	The presence of uric acid-containing calculi (stones) in the kidneys.	Nefrolitiasis por ácido úrico	
Abnormality of the genitourinary system	HP:0008651	Uric acid urolithiasis independent of gout		Urolitiasis por ácido úrico independiente de gota	
Abnormality of the genitourinary system	HP:0100577	Urinary bladder inflammation	`Inflammation`(MPATH:212) of the `urinary bladder` (FMA:15900).	Inflamación de la vejiga urinaria	
Abnormality of the genitourinary system	HP:0002839	Urinary bladder sphincter dysfunction	Abnormal function of a sphincter of the `urinary bladder` (FMA:15900).	Disfunción del esfínter vesical	
Abnormality of the genitourinary system	HP:0003541	Urinary glycosaminoglycan excretion	Excretion of `glycosaminoglycan` (CHEBI:18085) in the `urine` (FMA:12274). Glycosaminoglycans are long unbranched polysaccharides consisting of a repeating disaccharide unit.	Excreción urinaria de glucosaminoglucanos	
Abnormality of the genitourinary system	HP:0000019	Urinary hesitancy	Difficulty in beginning the process of `urination` (GO:0060073).	Dificultad para la micción	
Abnormality of the genitourinary system	HP:0000020	Urinary incontinence	Loss of the ability to control the `urinary bladder` (FMA:15900) leading to involuntary `urination` (GO:0060073).	Incontinencia urinaria	
Abnormality of the genitourinary system	HP:0000016	Urinary retention	Inability to completely empty the `urinary bladder` (FMA:15900) during the process of `urination` (GO:0060073).	Retención urinaria	
Abnormality of the genitourinary system	HP:0000809	Urinary tract atresia	Congenital absence of the normal opening of a structure of the urinary tract.	Atresia de las vías urinarias	
